Borough,SubBoroNum,SubBoroNam,PUMA5CE,PUMA5ID,PUMA_2010
Bronx,06,Riverdale / Kingsbridge,03701,3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA"
Bronx,10,Williamsbridge / Baychester,03702,3603702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA"
Bronx,08,Throgs Neck / Co-op City,03703,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA"
Bronx,09,Pelham Parkway,03704,3603704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA"
Bronx,02,Morrisania / East Tremont,03705,3603705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA"
Bronx,05,Kingsbridge Heights / Mosholu,03706,3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA"
Bronx,04,University Heights / Fordham,03707,3603707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA"
Bronx,03,Highbridge / S. Concourse,03708,3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA"
Bronx,07,Soundview / Parkchester,03709,3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA"
Bronx,01,Mott Haven / Hunts Point,03710,3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA"
Brooklyn,01,Williamsburg / Greenpoint,04001,3604001,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA
Brooklyn,04,Bushwick,04002,3604002,NYC-Brooklyn Community District 4--Bushwick PUMA
Brooklyn,03,Bedford Stuyvesant,04003,3604003,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA
Brooklyn,02,Brooklyn Heights / Fort Greene,04004,3604004,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA
Brooklyn,06,Park Slope / Carroll Gardens,04005,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA"
Brooklyn,08,North Crown Heights / Prospect Heights,04006,3604006,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA
Brooklyn,16,Brownsville / Ocean Hill,04007,3604007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA
Brooklyn,05,East New York / Starrett City,04008,3604008,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA
Brooklyn,18,Flatlands / Canarsie,04009,3604009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA
Brooklyn,17,East Flatbush,04010,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA"
Brooklyn,09,South Crown Heights,04011,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA"
Brooklyn,07,Sunset Park,04012,3604012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA
Brooklyn,10,Bay Ridge,04013,3604013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA
Brooklyn,12,Borough Park,04014,3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA"
Brooklyn,14,Flatbush,04015,3604015,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA
Brooklyn,15,Sheepshead Bay / Gravesend,04016,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA"
Brooklyn,11,Bensonhurst,04017,3604017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA
